,listing_id,name,price,mileage,ext_color,int_color,transmission,drivetrain,make,model,condition,year,trim,bodystyle,dealer,state,rating,review_count,CPO
1883,774846435,2016 BMW 340 i,32998.0,32098.0,Gray,Red,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Beemer Haus,AZ,4.5,64,False
1884,772629235,2016 BMW 340 i xDrive,27912.0,36350.0,Black,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Lee Johnson Chevrolet Mazda Kia,WA,4.7,189,False
1885,776621495,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CT,3.7,906,False
1886,773902787,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),NY,3.6,77,False
1887,771215843,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),NJ,3.8,905,False
1888,777798736,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),ME,3.8,68,False
1889,775279276,2009 BMW 335 i xDrive,9998.0,131436.0,Black,Black,Automatic,AWD,BMW,335,Used,2009,i xDrive,Coupe,S & S Best Auto Sales,WA,4.6,83,False
1890,773306288,2016 BMW 340 i xDrive,27950.0,47890.0,Blue,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Tacoma Subaru,WA,5.0,18,False
1891,773835603,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),NC,3.6,77,False
1892,778402148,2015 BMW 335 Gran Turismo i xDrive,24998.0,34798.0,Gray,Black,Automatic,AWD,BMW,335 Gran Turismo,Used,2015,i xDrive,Hatchback,CarMax Costa Mesa,CA,2.3,7,False
1893,775964397,2011 BMW 335 i xDrive,11690.0,108109.0,Red,Black,Manual,AWD,BMW,335,Used,2011,i xDrive,Coupe,MDK International,CA,3.6,74,False
1894,771209379,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),TX,3.7,924,False
1895,776174681,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Texas Direct Auto,TX,3.3,1695,False
1896,771208821,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Texas Direct Auto,TX,3.3,1695,False
1897,777687821,2015 BMW 335 i xDrive,24710.0,33624.0,Black,Beige,Other / Unknown,AWD,BMW,335,Used,2015,i xDrive,Sedan,Vroom (Online Dealer),CO,3.6,77,False
1898,766777959,2016 BMW 340 i,30000.0,36438.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Weatherford BMW,CA,4.6,800,True
1899,776639010,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CO,3.7,915,False
1900,771417730,2018 BMW 340 i xDrive,55995.0,4672.0,Gray,White,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Tulley Automotive Group,NH,4.9,185,False
1901,774104879,2008 BMW 335 xi,7495.0,125997.0,Black,Other,Automatic,AWD,BMW,335,Used,2008,xi,Coupe,Amati Auto Group,NH,4.0,59,False
1902,774580207,2013 BMW 335 i xDrive,12498.0,80863.0,Black,Red,Automatic,AWD,BMW,335,Used,2013,i xDrive,Coupe,Champion Auto Sales,NJ,2.3,6,False
1903,776631375,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.6,77,False
1904,776634046,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1905,771210887,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.8,905,False
1906,771210681,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.7,914,False
1907,776625874,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.8,905,False
1908,776177661,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CT,3.5,103,False
1909,773849803,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CT,3.5,103,False
1910,771209573,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.7,915,False
1911,773104967,2009 BMW 335 i xDrive,8897.0,109674.0,Black,Black,Automatic,AWD,BMW,335,Used,2009,i xDrive,Coupe,Frontier Auto Sales Inc.,PA,4.5,302,False
1912,776547632,2016 BMW 340 i xDrive,34931.0,31526.0,Black,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of Rochester,NY,3.6,93,True
1913,771296731,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OH,3.7,907,False
1914,776997932,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),MI,3.6,77,False
1915,752515483,2016 BMW 340 i,33635.0,14710.0,Silver,Black,Other / Unknown,RWD,BMW,340,Used,2016,i,Sedan,BMW of Rockville,MD,4.5,836,False
1916,777688845,2015 BMW 335 i xDrive,24710.0,33624.0,Black,Beige,Other / Unknown,AWD,BMW,335,Used,2015,i xDrive,Sedan,Vroom (Online Dealer),IA,3.5,103,False
1917,759673409,2016 BMW 340 i xDrive,34997.0,33877.0,White,Red,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of Rockville,MD,4.5,836,False
1918,776040716,2016 BMW 340 i xDrive,33350.0,33350.0,Black,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of Alexandria,VA,3.7,645,False
1919,775721879,2016 BMW 340 i xDrive,33900.0,34051.0,White,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,P & W BMW,PA,0.0,178,True
1920,776616522,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),WA,3.8,905,False
1921,764569699,2016 BMW 340 i xDrive,31500.0,48300.0,Black,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Cain BMW,OH,4.8,286,True
1922,775860491,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1923,773851491,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1924,773908967,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.6,77,False
1925,773861662,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1926,775815108,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),NC,3.6,77,False
1927,716823476,2018 BMW 340 i xDrive,48060.0,4542.0,White,White,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Erhard BMW of Bloomfield Hills,MI,3.8,10,False
1928,777769241,2010 BMW 335 i xDrive,12480.0,70774.0,Black,Beige,Automatic,AWD,BMW,335,Used,2010,i xDrive,Sedan,The Motor Collection,OH,5.0,5,False
1929,776641862,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),SC,3.8,905,False
1930,768600973,2008 BMW 335 i,6999.0,98853.0,Red,Beige,Automatic,RWD,BMW,335,Used,2008,i,Sedan,County Line Car Sales,NC,5.0,1,False
1931,773912082,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),GA,3.6,81,False
1932,773913146,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),WI,3.6,77,False
1933,776177554,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),AL,3.7,906,False
1934,778289111,2016 BMW 340 i,29417.0,21381.0,Black,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Hi-Line Garage,NC,4.8,469,False
1935,746810747,2009 BMW 335 i xDrive,7495.0,111370.0,Blue,Beige,Automanual,AWD,BMW,335,Used,2009,i xDrive,Sedan,Beck's Auto Group,OH,3.6,70,False
1936,776177521,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),FL,3.7,908,False
1937,775813938,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),LA,3.8,68,False
1938,762890574,2011 BMW 335 i xDrive,10388.0,94159.0,Gray,Black,Automatic,AWD,BMW,335,Used,2011,i xDrive,Coupe,Automotive Connection,OH,3.5,19,False
1939,771211276,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CO,3.7,915,False
1940,775866091,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),WY,3.8,68,False
1941,771209953,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OR,3.8,905,False
1942,773881608,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.6,81,False
1943,775606401,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.7,915,False
1944,765865661,2018 BMW 340 i xDrive,52900.0,123.0,Gray,Other,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Dreyer & Reinbold BMW & MINI,IN,5.0,42,False
1945,773857039,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1946,754722137,2018 BMW 340 i xDrive,52900.0,31.0,Black,Other,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Dreyer & Reinbold BMW & MINI,IN,5.0,42,False
1947,773833039,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),NY,3.6,81,False
1948,774899901,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OH,3.7,74,False
1949,752106192,2011 BMW 335 i,11990.0,80180.0,Gray,Beige,Automatic,RWD,BMW,335,Used,2011,i,Sedan,Carmel Motors,IN,3.8,54,False
1950,776177647,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),MI,3.6,81,False
1951,773884533,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),MI,3.6,77,False
